item_code,item,unit,item_group,item_category,image_url,http_status,content_type,image_bytes,image_status
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,https://img.manamurah.com/barang_nobg/1.png,200,image/png,162212,valid
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,https://img.manamurah.com/barang_nobg/2.png,200,image/png,162212,valid
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,https://img.manamurah.com/barang_nobg/3.png,200,image/png,162212,valid
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,https://img.manamurah.com/barang_nobg/9.png,200,image/png,162212,valid
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,https://img.manamurah.com/barang_nobg/10.png,200,image/png,162212,valid
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,https://img.manamurah.com/barang_nobg/11.png,200,image/png,162212,valid
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,https://img.manamurah.com/barang_nobg/12.png,200,image/png,162212,valid
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,https://img.manamurah.com/barang_nobg/14.png,200,image/png,31166,valid
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/16.png,200,image/png,162212,valid
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/18.png,200,image/png,162212,valid
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/19.png,200,image/png,162212,valid
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/20.png,200,image/png,162212,valid
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/21.png,200,image/png,162212,valid
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/22.png,200,image/png,162212,valid
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/24.png,200,image/png,162212,valid
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/25.png,200,image/png,63943,valid
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/26.png,200,image/png,162212,valid
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/27.png,200,image/png,162212,valid
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/31.png,200,image/png,162212,valid
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/38.png,200,image/png,162212,valid
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,https://img.manamurah.com/barang_nobg/39.png,200,image/png,162212,valid
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,https://img.manamurah.com/barang_nobg/43.png,200,image/png,35327,valid
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,https://img.manamurah.com/barang_nobg/47.png,200,image/png,21738,valid
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,https://img.manamurah.com/barang_nobg/49.png,200,image/png,26546,valid
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,https://img.manamurah.com/barang_nobg/51.png,200,image/png,24432,valid
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,https://img.manamurah.com/barang_nobg/52.png,200,image/png,162212,valid
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,https://img.manamurah.com/barang_nobg/55.png,200,image/png,162212,valid
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,https://img.manamurah.com/barang_nobg/60.png,200,image/png,29932,valid
